phase	kind	file	line	target	change	text
p002	c-include	src/drivers/platform/pcat/pcat-ide.c	12	include/drivers/pcat-ide.h	drivers/pcat-ide.h -> drivers/platform/pcat/pcat-ide.h	#include "drivers/pcat-ide.h"
p002	c-include	src/drivers/platform/pcat/ps2-8042.c	12	include/drivers/hid/ps2-8042.h	drivers/hid/ps2-8042.h -> drivers/platform/pcat/ps2-8042.h	#include "drivers/hid/ps2-8042.h"
p002	c-include	src/drivers/usb/usb-cdc-ecm.c	14	include/drivers/usb-cdc-ecm.h	drivers/usb-cdc-ecm.h -> drivers/usb/usb-cdc-ecm.h	#include <drivers/usb-cdc-ecm.h>
p002	c-include	src/drivers/usb/usb-cdc-ecm.c	15	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-cdc-ncm-net.c	14	include/drivers/usb-cdc-ncm.h	drivers/usb-cdc-ncm.h -> drivers/usb/usb-cdc-ncm.h	#include <drivers/usb-cdc-ncm.h>
p002	c-include	src/drivers/usb/usb-cdc-ncm-net.c	15	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-cdc-ncm.c	14	include/drivers/usb-cdc-ncm.h	drivers/usb-cdc-ncm.h -> drivers/usb/usb-cdc-ncm.h	#include <drivers/usb-cdc-ncm.h>
p002	c-include	src/drivers/usb/usb-hid-checkpoint.c	14	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-hid.c	14	include/drivers/hid/hid-report.h	drivers/hid/hid-report.h -> drivers/usb/hid-report.h	#include <drivers/hid/hid-report.h>
p002	c-include	src/drivers/usb/usb-hid.c	15	include/drivers/usb-hid.h	drivers/usb-hid.h -> drivers/usb/usb-hid.h	#include <drivers/usb-hid.h>
p002	c-include	src/drivers/usb/usb-hid.c	16	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-rtl8822bu.c	18	include/drivers/usb-rtl8822bu.h	drivers/usb-rtl8822bu.h -> drivers/usb/usb-rtl8822bu.h	#include <drivers/usb-rtl8822bu.h>
p002	c-include	src/drivers/usb/usb-rtl8822bu.c	19	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-storage.c	12	include/drivers/usb-storage.h	drivers/usb-storage.h -> drivers/usb/usb-storage.h	#include <drivers/usb-storage.h>
p002	c-include	src/drivers/usb/usb-storage.c	13	include/drivers/usb-storage-bot.h	drivers/usb-storage-bot.h -> drivers/usb/usb-storage-bot.h	#include <drivers/usb-storage-bot.h>
p002	c-include	src/drivers/usb/usb-storage.c	14	include/drivers/usb-storage-scsi.h	drivers/usb-storage-scsi.h -> drivers/usb/usb-storage-scsi.h	#include <drivers/usb-storage-scsi.h>
p002	c-include	src/drivers/usb/usb-storage.c	15	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-uas-disk.c	14	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-uas-disk.c	15	include/drivers/usb-uas.h	drivers/usb-uas.h -> drivers/usb/usb-uas.h	#include <drivers/usb-uas.h>
