old	new
pcat_graphics_backend_leave	drv_pcat_graphics_backend_leave
pcat_graphics_backend_line	drv_pcat_graphics_backend_line
pcat_graphics_backend_pattern_fill	drv_pcat_graphics_backend_pattern_fill
pcat_graphics_backend_ready	drv_pcat_graphics_backend_ready
pcat_graphics_pci_register	drv_pcat_graphics_pci_register
pcat_graphics_prepare	drv_pcat_graphics_prepare
pcat_ide_bios_unit	drv_pcat_ide_bios_unit
pcat_ide_init	drv_pcat_ide_init
pcat_ide_unit	drv_pcat_ide_unit
pcat_ne2000_init	drv_pcat_ne2000_init
pcat_ps2_mouse_init	drv_pcat_ps2_mouse_init
pcat_vgafont16	drv_pcat_vgafont16
rpi4_sdhci_disk	drv_rpi4_sdhci_disk
rpi4_sdhci_init	drv_rpi4_sdhci_init
rtl8822b_board_active_channel_allowed	drv_rtl8822b_board_active_channel_allowed
rtl8822b_cam_activate_ccmp	drv_rtl8822b_cam_activate_ccmp
rtl8822b_cam_clear	drv_rtl8822b_cam_clear
rtl8822b_cam_program_ccmp	drv_rtl8822b_cam_program_ccmp
rtl8822b_cam_stage_ccmp	drv_rtl8822b_cam_stage_ccmp
rtl8822b_chip_identity_parse	drv_rtl8822b_chip_identity_parse
rtl8822b_data_frame_prepare	drv_rtl8822b_data_frame_prepare
rtl8822b_efuse_decode	drv_rtl8822b_efuse_decode
rtl8822b_firmware_load	drv_rtl8822b_firmware_load
rtl8822b_firmware_release	drv_rtl8822b_firmware_release
rtl8822b_firmware_tx_descriptor	drv_rtl8822b_firmware_tx_descriptor
rtl8822b_firmware_validate	drv_rtl8822b_firmware_validate
rtl8822b_firmware_walk	drv_rtl8822b_firmware_walk
rtl8822b_radio_active_scan_allowed	drv_rtl8822b_radio_active_scan_allowed
rtl8822b_radio_deauthentication_prepare	drv_rtl8822b_radio_deauthentication_prepare
rtl8822b_radio_management_frame_prepare	drv_rtl8822b_radio_management_frame_prepare
rtl8822b_radio_power_on	drv_rtl8822b_radio_power_on
rtl8822b_radio_rx_generation_pause	drv_rtl8822b_radio_rx_generation_pause
rtl8822b_radio_rx_generation_resume	drv_rtl8822b_radio_rx_generation_resume
rtl8822b_radio_set_channel	drv_rtl8822b_radio_set_channel
rtl8822b_radio_start	drv_rtl8822b_radio_start
rtl8822b_radio_stop	drv_rtl8822b_radio_stop
rtl8822b_rx_aggregate_walk	drv_rtl8822b_rx_aggregate_walk
rtl8822b_rx_packet_parse	drv_rtl8822b_rx_packet_parse
rtl8822b_security_clear_association	drv_rtl8822b_security_clear_association
rtl8822b_security_enable	drv_rtl8822b_security_enable
rtl8822b_security_set_association	drv_rtl8822b_security_set_association
rtl8822b_sha256	drv_rtl8822b_sha256
rtl8822b_test_firmware_blob_state	drv_rtl8822b_test_firmware_blob_state
rtl8822b_test_firmware_segment	drv_rtl8822b_test_firmware_segment
rtl8822b_test_firmware_validate	drv_rtl8822b_test_firmware_validate
rtl8822b_test_firmware_walk	drv_rtl8822b_test_firmware_walk
rtl8822b_test_radio_table_apply	drv_rtl8822b_test_radio_table_apply
rtl8822b_tx_queues_empty	drv_rtl8822b_tx_queues_empty
rtl8822bu_board_parse	drv_rtl8822bu_board_parse
sun4u_cmd646_disk	drv_sun4u_cmd646_disk
sun4u_cmd646_init	drv_sun4u_cmd646_init
ufs_filesystem_type	drv_ufs_filesystem_type
ufs_get16	drv_ufs_get16
ufs_get32	drv_ufs_get32
ufs_get64	drv_ufs_get64
ufs_identify	drv_ufs_identify
ufs_journal_bind_image	drv_ufs_journal_bind_image
ufs_journal_checkpoint	drv_ufs_journal_checkpoint
ufs_journal_commit	drv_ufs_journal_commit
ufs_journal_committed	drv_ufs_journal_committed
ufs_journal_commitv	drv_ufs_journal_commitv
ufs_journal_drain	drv_ufs_journal_drain
ufs_journal_init	drv_ufs_journal_init
ufs_journal_publishv	drv_ufs_journal_publishv
ufs_journal_read	drv_ufs_journal_read
ufs_journal_replay	drv_ufs_journal_replay
ufs_journal_view_acquire	drv_ufs_journal_view_acquire
ufs_journal_view_copy	drv_ufs_journal_view_copy
ufs_journal_view_release	drv_ufs_journal_view_release
ufs_journal_views_busy	drv_ufs_journal_views_busy
ufs_journal_views_close	drv_ufs_journal_views_close
ufs_put16	drv_ufs_put16
ufs_put32	drv_ufs_put32
ufs_put64	drv_ufs_put64
ufs_snapshot_create	drv_ufs_snapshot_create
ufs_snapshot_delete	drv_ufs_snapshot_delete
ufs_snapshot_init	drv_ufs_snapshot_init
ufs_snapshot_open	drv_ufs_snapshot_open
ufs_snapshot_preserve	drv_ufs_snapshot_preserve
ufs_snapshot_read	drv_ufs_snapshot_read
ufs_super_decode	drv_ufs_super_decode
usb_hid_checkpoint_driver_register	drv_usb_hid_checkpoint_driver_register
x68k_partition_decode	drv_x68k_partition_decode
x68k_scsi_cdb10	drv_x68k_scsi_cdb10
x68k_scsi_inquiry_cdb	drv_x68k_scsi_inquiry_cdb
x68k_scsi_parse_capacity10	drv_x68k_scsi_parse_capacity10
x68k_scsi_parse_sense	drv_x68k_scsi_parse_sense
x68k_scsi_request_sense_cdb	drv_x68k_scsi_request_sense_cdb
x68k_scsi_simple_cdb10	drv_x68k_scsi_simple_cdb10
x68k_scsi_transfer_chunk	drv_x68k_scsi_transfer_chunk
x68k_spc_disk_init	drv_x68k_spc_disk_init
x68k_spc_disk_target	drv_x68k_spc_disk_target
x68k_spc_pio_command	drv_x68k_spc_pio_command
x68k_spc_pio_init	drv_x68k_spc_pio_init
x68k_spc_pio_inquiry	drv_x68k_spc_pio_inquiry
x68k_spc_pio_read10	drv_x68k_spc_pio_read10
x68k_spc_pio_read_capacity10	drv_x68k_spc_pio_read_capacity10
x68k_spc_pio_request_sense	drv_x68k_spc_pio_request_sense
x68k_spc_pio_synchronize10	drv_x68k_spc_pio_synchronize10
x68k_spc_pio_test_unit_ready	drv_x68k_spc_pio_test_unit_ready
x68k_spc_pio_write10	drv_x68k_spc_pio_write10
