path	explanation-source	had-bom	body-sha256	explanation
userland/base/pax/main.c	generated	no	80e9aacdfc1b97f5c35c5fd09703b12625c64fb8b080356298ee2b358c460787	Implements the zedBSD pax userland command.
userland/base/ping/main.c	generated	no	9862f65cc7ab88f3864bf6fc5da8a00479fa960597f4ef263a22a7a5cfb92dcc	Implements the zedBSD ping userland command.
userland/base/pr/main.c	generated	no	49ebe338e4d6544bf5e1217c6fbfac5f94f8df0219afa6b62c974db655c83d4b	Implements the zedBSD pr userland command.
userland/base/ps/main.c	generated	no	b2d10fcd57ba4a9fb5bc3292a83512026ecf9dfcd4165edfb5699576b426a5b9	Implements the zedBSD ps userland command.
userland/base/readlink/main.c	generated	no	d04d677701b1af124f6d3603c9d81c65499e5865dd1f315b7743d6003890daa8	Implements the zedBSD readlink userland command.
userland/base/realpath/main.c	generated	no	fdda61e4df6fe11631ab2060c6ddcd28687d1027d81608772238bfb1201c11ef	Implements the zedBSD realpath userland command.
userland/base/renice/main.c	generated	no	47c55c49953a994754565e67527993342e2cc57eb2281bd790f2a401ace5f358	Implements the zedBSD renice userland command.
userland/base/rm/main.c	generated	no	93dd03868f8f11fe5f691828dec8e6038ce0461797852ad9ff030336901c2871	Implements the zedBSD rm userland command.
userland/base/rmdir/main.c	generated	no	c69ed23d8617bed44bacf7c505e5dc7123a7dc9e98df637f55847449c755f538	Implements the zedBSD rmdir userland command.
userland/base/route/main.c	generated	no	162d35af7df233034c0118ff87755e69e5faa619057d4e218bec25fa8c04225c	Implements the zedBSD route userland command.
userland/base/rtld/elf.h	generated	no	8b6be9e84dd9b125e1fea797daefdb4b17689d9e5e150961c79fe768cdc9f728	Declares the zedBSD userland elf interface.
userland/base/rtld/entry-aarch64.S	generated	no	312c41ed1436b377101f47bc6260a278642e68c32e123c039ba59f2ae5655623	Implements the aarch64 runtime-linker entry point.
userland/base/rtld/entry-amd64.S	generated	no	b95c72a53a3502eff569abb63ed4588ca9ffc8257a27c1a6072af7866984be66	Implements the amd64 runtime-linker entry point.
userland/base/rtld/entry-i386.S	generated	no	2f017820b688ab17b237ceef3c4ebd4be392b2efa7df8ce2664729cbd938454e	Implements the i386 runtime-linker entry point.
userland/base/rtld/entry-sparcv9.S	generated	no	6b04fd551837eb4f2c31da4df311e4d69373bccc4d29c2bec2a0a33a6db10c56	Implements the sparcv9 runtime-linker entry point.
